title,link
South Florida man hit by car during botched 'In My Feelings' challenge,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-hit-by-car-during-botched-in-my-feelings-challenge
South Florida man sentenced to life in prison for killing friend during argument,https://www.local10.com/news/crime/south-florida-man-sentenced-to-life-in-prison-for-killing-friend-during-argument
South Florida man accused of killing twin brother's romantic rival,https://www.local10.com/news/crime/south-florida-man-accused-of-killing-twin-brothers-romantic-rival
Florida man accused of touching girls' buttocks in back-to-school aisle at Walmart,http://www.local10.com/news/crime/florida-man-accused-of-touching-girls-buttocks-in-back-to-school-aisle-at-walmart
South Florida man accused of pointing gun at driver in Key Largo,http://www.local10.com/news/crime/south-florida-man-accused-of-pointing-gun-at-driver-in-key-largo
"South Florida man kept woman from leaving home, wouldn't let children eat, police say",https://www.local10.com/news/crime/south-florida-man-kept-woman-from-leaving-home-wouldn-t-let-children-eat-police-say
VIDEO: Florida man streams dangerous beach ride on Facebook Live,http://www.local10.com/news/video-florida-man-streams-dangerous-beach-ride-on-facebook-live
"Florida man arrested after reporting cocaine stolen, deputies say",http://www.local10.com/news/florida-man-arrested-after-reporting-cocaine-stolen-deputies-say
"Florida man stabs wife during argument about divorce, arrest report says",http://www.local10.com/news/crime/florida-man-stabs-wife-during-argument-about-divorce-arrest-report-says
South Florida man accused of traveling to Sarasota County to meet vacationing teen,http://www.local10.com/news/crime/south-florida-man-accused-of-traveling-to-sarasota-county-to-meet-vacationing-teen
"South Florida man, 84, threatens to cut off wife's arms if she refuses sex",https://www.local10.com/news/crime/south-florida-man-84-threatens-to-cut-off-wifes-arms-if-she-refuses-sex
South Florida man wanted by FBI in alleged mortgage fraud scheme,http://www.local10.com/news/crime/south-florida-man-wanted-by-fbi-in-alleged-mortgage-fraud-scheme
"Exploding vape pen killed Florida man, autopsy confirms",https://www.local10.com/news/florida/exploding-vape-pen-killed-florida-man-autopsy-confirms
South Florida man travels around world to watch solar eclipses,http://www.local10.com/news/eclipse/south-florida-man-travels-around-world-to-watch-solar-eclipses
South Florida man confesses to accidentally shooting wife 30 years after claiming suicide,http://www.local10.com/news/crime/south-florida-man-confesses-to-accidentally-shooting-wife-30-years-after-claiming-suicide
Florida man finds alligator in his garage,http://www.local10.com/news/florida/florida-man-finds-alligator-in-his-garage
Roach lays egg in Florida man's ear,https://www.local10.com/news/florida/roach-lays-egg-in-florida-mans-ear
Dispute about hedgehog lands South Florida man in jail,http://www.local10.com/news/weird-news/dispute-about-hedgehog-lands-south-florida-man-in-jail
Florida man gets year in jail for burning girlfriend's bunny,http://www.local10.com/news/florida/florida-man-gets-year-in-jail-for-burning-girlfriends-bunny
Fleeing Florida man arrested when his pants fall down,https://www.local10.com/news/florida/fleeing-florida-man-arrested-when-his-pants-fall-down
"Suspect accused of kidnapping, robbing South Florida man, stealing his dog",http://www.local10.com/news/crime/suspect-accused-of-kidnapping-robbing-south-florida-man-stealing-his-dog
"South Florida man found, brought to JFK Medical Center",https://www.local10.com/news/florida/palm-beach-county/south-florida-man-found-brought-to-jfk-medical-center
"Florida man scares kids at playground, ranting about where babies come from, police say",https://www.local10.com/news/florida/florida-man-scares-kids-at-playground-ranting-about-babies-come-from-police-say
Florida man stuck in Bahamas worried about home,http://www.local10.com/weather/hurricane/florida-man-stuck-in-bahamas-worried-about-home
Florida man saves bald eagle from jaws of alligator,http://www.local10.com/news/florida/florida-man-saves-bald-eagle-from-jaws-of-alligator
South Florida man accused of threatening woman who mistakenly parked in driveway,http://www.local10.com/news/crime/south-florida-man-accused-of-threatening-woman-who-mistakenly-parked-in-driveway
South Florida man accused of smearing feces on HOA president's car,http://www.local10.com/news/weird-news/south-florida-man-accused-of-smearing-feces-on-hoa-presidents-car
"Florida man arrested for putting video camera in stall of men's bathroom, deputies say",https://www.local10.com/news/florida/monroe-county/florida-man-arrested-for-putting-a-video-camera-in-stall-of-mens-bathroom
South Florida man arrested in 2014 fatal shooting of 1-year-old,http://www.local10.com/news/crime/south-florida-man-arrested-in-2014-fatal-shooting-of-1-year-old
"South Florida man arrested after confessing to killing wife, police say",http://www.local10.com/news/crime/south-florida-man-arrested-after-confessing-to-killing-wife-police-say
South Florida man accused of stomping woman who picked up cigarettes in his yard,http://www.local10.com/news/crime/south-florida-man-accused-of-stomping-woman-who-picked-up-cigarettes-in-his-yard
South Florida man donates kidney to save wife's life,https://www.local10.com/health/south-florida-man-donates-kidney-to-save-wifes-life
Snake emerges from car's hood while Florida man driving,http://www.local10.com/news/weird-news/snake-emerges-from-cars-hood-while-florida-man-driving
Florida man wanted for questioning in connection to Miami Lakes slaying,https://www.local10.com/news/florida/miami-dade/florida-man-wanted-for-questioning-in-connection-to-miami-lakes-slaying
Florida man uses modified handgun to kill lionfish 100 feet underwater,http://www.local10.com/news/florida/florida-man-uses-modified-handgun-to-kill-lionfish-100-feet-underwater
"'I'm not a pedophile, I'm just a pervert': Florida man faces 52 child pornography charges",http://www.local10.com/news/im-not-a-pedophile-im-just-a-pervert-florida-man-faces-52-child-pornography-charges
"Florida man throws glass eye at hospital staff, police say",http://www.local10.com/news/weird-news/florida-man-throws-glass-eye-at-hospital-staff-police-say
"Florida man arrested, accused of fatally shooting off-duty firefighter",http://www.local10.com/news/florida/florida-man-arrested-accused-of-fatally-shooting-off-duty-firefighter
South Florida man accused of threatening Trump on Facebook,http://www.local10.com/news/crime/south-florida-man-accused-of-threatening-trump-on-facebook
"Florida man beats ex-wife to death in fight over infidelity, deputies say",https://www.local10.com/news/florida/florida-man-beats-ex-wife-to-death-in-fight-over-infidelity-deputies-say
"Florida man throws glass salsa jar at car in fit of road rage, FHP says",http://www.local10.com/news/weird-news/florida-man-throws-glass-salsa-jar-at-car-in-fit-of-road-rage-fhp-says
Florida man fighting to keep pizza-loving alligator,http://www.local10.com/news/talkers/florida-man-fighting-to-keep-pizzaloving-alligator
"South Florida man spreads word about catheter ablations, EKGs after son dies of WPW",https://www.local10.com/health/south-florida-man-spreads-word-about-catheter-ablations-ekgs-after-son-dies-of-wpw
"Teen fatally shoots South Florida man with victim's gun during drug buy, deputies say",http://www.local10.com/news/crime/teen-fatally-shoots-south-florida-man-with-victims-gun-during-drug-buy-deputies-say
"South Florida man robs former classmate, texts victim smiley-face emojis, deputies say",http://www.local10.com/news/weird-news/south-florida-man-robs-former-classmate-texts-victim-smiley-face-emojis
South Florida man hits woman with piece of wood because she wouldn't give him cigarettes,http://www.local10.com/news/crime/south-florida-man-hits-woman-with-piece-of-wood-because-she-wouldnt-give-him-cigarettes
"South Florida man steals more than $45,000 worth of socks, police say",http://www.local10.com/news/weird-news/south-florida-man-steals-more-than-45000-worth-of-socks-police-say
Florida man gets 8 years for timeshare fraud in Texas,http://www.local10.com/news/florida-man-gets-8-years-for-timeshare-fraud-in-texas
Alligator attacks Florida man in Bushnell,http://www.local10.com/news/alligator-attacks-florida-man-in-bushnell
